item,related item,score
ชาบู,ครีมกันแดด,1.0
กระเป๋า,ครีมกันแดด,1.0
ชาบู,กระเป๋า,1.0
ครีมกันแดด,ชาบู,1.0
ครีมกันแดด,กระเป๋า,1.0
กระเป๋า,ชาบู,1.0
กระเป๋า,โรตี,0.9870962335856491
ครีมกันแดด,โรตี,0.9870962335856491
ชาบู,โรตี,0.9870962335856491
โรตี,ชาบู,0.9870962335856491
โรตี,กระเป๋า,0.9870962335856491
โรตี,ครีมกันแดด,0.9870962335856491
กะหรี่(ปั๊บ),กระเป๋า,0.9740215340114142
กะหรี่(ปั๊บ),ชาบู,0.9740215340114142
กระเป๋า,กะหรี่(ปั๊บ),0.9740215340114142
กะหรี่(ปั๊บ),ครีมกันแดด,0.9740215340114142
ชาบู,กะหรี่(ปั๊บ),0.9740215340114142
ครีมกันแดด,กะหรี่(ปั๊บ),0.9740215340114142
กะหรี่(ปั๊บ),โรตี,0.960085344712797
โรตี,กะหรี่(ปั๊บ),0.960085344712797
ชาบู,เม็ดมะม่วงหิมพานต์,0.9473309334313418
ครีมกันแดด,เม็ดมะม่วงหิมพานต์,0.9473309334313418
เม็ดมะม่วงหิมพานต์,ครีมกันแดด,0.9473309334313418
เม็ดมะม่วงหิมพานต์,กระเป๋า,0.9473309334313418
กระเป๋า,เม็ดมะม่วงหิมพานต์,0.9473309334313418
เม็ดมะม่วงหิมพานต์,ชาบู,0.9473309334313418
กะหรี่(ปั๊บ),เม็ดมะม่วงหิมพานต์,0.9448090244404383
เม็ดมะม่วงหิมพานต์,กะหรี่(ปั๊บ),0.9448090244404383
กระเป๋า,หมอนข้าง,0.9336995618478525
ครีมกันแดด,หมอนข้าง,0.9336995618478525
ชาบู,หมอนข้าง,0.9336995618478525
หมอนข้าง,ครีมกันแดด,0.9336995618478525
หมอนข้าง,ชาบู,0.9336995618478525
หมอนข้าง,กระเป๋า,0.9336995618478525
เม็ดมะม่วงหิมพานต์,โรตี,0.932294445082039
โรตี,เม็ดมะม่วงหิมพานต์,0.932294445082039
เม็ดมะม่วงหิมพานต์,หมอนข้าง,0.9276336570439173
หมอนข้าง,เม็ดมะม่วงหิมพานต์,0.9276336570439173
เนื้อย่าง,เนื้อวากิล,0.9265616458263766
เนื้อวากิล,เนื้อย่าง,0.9265616458263766
หมอนข้าง,โรตี,0.9180845587231844
โรตี,หมอนข้าง,0.9180845587231844
ครีมกันแดด,แฟน ที่แปลว่าพัดลม,0.9058216273156765
กระเป๋า,แฟน ที่แปลว่าพัดลม,0.9058216273156765
แฟน ที่แปลว่าพัดลม,กระเป๋า,0.9058216273156765
แฟน ที่แปลว่าพัดลม,ชาบู,0.9058216273156765
แฟน ที่แปลว่าพัดลม,ครีมกันแดด,0.9058216273156765
ชาบู,แฟน ที่แปลว่าพัดลม,0.9058216273156765
Software ถูกลิขสิทธิ์,โรตี,0.9032106474595007
หมูแดดเดียว,โรตี,0.9032106474595007
โรตี,หมูแดดเดียว,0.9032106474595007
โรตี,Software ถูกลิขสิทธิ์,0.9032106474595007
กะหรี่(ปั๊บ),หมอนข้าง,0.9022141990953615
หมอนข้าง,กะหรี่(ปั๊บ),0.9022141990953615
แฟน ที่แปลว่าพัดลม,กะหรี่(ปั๊บ),0.9009192002645994
กะหรี่(ปั๊บ),แฟน ที่แปลว่าพัดลม,0.9009192002645994
แฟน ที่แปลว่าพัดลม,เม็ดมะม่วงหิมพานต์,0.8964214570007953
เม็ดมะม่วงหิมพานต์,แฟน ที่แปลว่าพัดลม,0.8964214570007953
Software ถูกลิขสิทธิ์,ครีมกันแดด,0.8915558282417287
หมูแดดเดียว,กระเป๋า,0.8915558282417287
Software ถูกลิขสิทธิ์,กระเป๋า,0.8915558282417287
หมูแดดเดียว,ชาบู,0.8915558282417287
หมูแดดเดียว,ครีมกันแดด,0.8915558282417287
ครีมกันแดด,Software ถูกลิขสิทธิ์,0.8915558282417287
กระเป๋า,หมูแดดเดียว,0.8915558282417287
กระเป๋า,Software ถูกลิขสิทธิ์,0.8915558282417287
ชาบู,Software ถูกลิขสิทธิ์,0.8915558282417287
ชาบู,หมูแดดเดียว,0.8915558282417287
ครีมกันแดด,หมูแดดเดียว,0.8915558282417287
Software ถูกลิขสิทธิ์,ชาบู,0.8915558282417287
โรตี,แฟน ที่แปลว่าพัดลม,0.8889859687484268
แฟน ที่แปลว่าพัดลม,โรตี,0.8889859687484268
หมูแดดเดียว,กะหรี่(ปั๊บ),0.885807893036239
กะหรี่(ปั๊บ),หมูแดดเดียว,0.885807893036239
แสงโสม,แม่โขง,0.8807048459279793
แม่โขง,แสงโสม,0.8807048459279793
เม็ดมะม่วงหิมพานต์,หมูแดดเดียว,0.8804062740424287
หมูแดดเดียว,เม็ดมะม่วงหิมพานต์,0.8804062740424287
แฟน ที่แปลว่าพัดลม,หมอนข้าง,0.8791916407567071
หมอนข้าง,แฟน ที่แปลว่าพัดลม,0.8791916407567071
น้ำส้มดีโด้,กะหรี่(ปั๊บ),0.86991767240168
กะหรี่(ปั๊บ),น้ำส้มดีโด้,0.86991767240168
กระเป๋า chanel,Brownie อวกาศ,0.8660254037844387
Brownie อวกาศ,กระเป๋า chanel,0.8660254037844387
เนื้อย่าง,เม็ดมะม่วงหิมพานต์,0.8624833627499189
เม็ดมะม่วงหิมพานต์,เนื้อย่าง,0.8624833627499189
เนื้อย่าง,โรตี,0.8583950752789521
โรตี,เนื้อย่าง,0.8583950752789521
กะหรี่(ปั๊บ),Software ถูกลิขสิทธิ์,0.8562809632683643
Software ถูกลิขสิทธิ์,กะหรี่(ปั๊บ),0.8562809632683643
น้ำส้มดีโด้,กระเป๋า,0.8473185457363234
น้ำส้มดีโด้,ครีมกันแดด,0.8473185457363234
ครีมกันแดด,น้ำส้มดีโด้,0.8473185457363234
ครีมกันแดด,เนื้อย่าง,0.8473185457363234
น้ำส้มดีโด้,ชาบู,0.8473185457363234
กระเป๋า,เนื้อย่าง,0.8473185457363234
เนื้อย่าง,ครีมกันแดด,0.8473185457363234
กระเป๋า,น้ำส้มดีโด้,0.8473185457363234
เนื้อย่าง,ชาบู,0.8473185457363234
ชาบู,น้ำส้มดีโด้,0.8473185457363234
เนื้อย่าง,กระเป๋า,0.8473185457363234
ชาบู,เนื้อย่าง,0.8473185457363234
เนื้อย่าง,กะหรี่(ปั๊บ),0.83884918410162
กะหรี่(ปั๊บ),เนื้อย่าง,0.83884918410162
Software ถูกลิขสิทธิ์,หมอนข้าง,0.8316554899054915
หมูแดดเดียว,หมอนข้าง,0.8316554899054915
หมอนข้าง,Software ถูกลิขสิทธิ์,0.8316554899054915
หมอนข้าง,หมูแดดเดียว,0.8316554899054915
เม็ดมะม่วงหิมพานต์,ต้นไม้ประดับห้อง,0.828741930164745
ต้นไม้ประดับห้อง,เม็ดมะม่วงหิมพานต์,0.828741930164745
เนื้อวากิล,เม็ดมะม่วงหิมพานต์,0.828741930164745
เม็ดมะม่วงหิมพานต์,เนื้อวากิล,0.828741930164745
โรตี,น้ำส้มดีโด้,0.8277381083047038
น้ำส้มดีโด้,โรตี,0.8277381083047038
เนื้อวากิล,โรตี,0.827170191868511
โรตี,เนื้อวากิล,0.827170191868511
โรตี,ต้นไม้ประดับห้อง,0.827170191868511
ต้นไม้ประดับห้อง,โรตี,0.827170191868511
หมูแดดเดียว,แฟน ที่แปลว่าพัดลม,0.8255008255012383
แฟน ที่แปลว่าพัดลม,Software ถูกลิขสิทธิ์,0.8255008255012383
แฟน ที่แปลว่าพัดลม,หมูแดดเดียว,0.8255008255012383
Software ถูกลิขสิทธิ์,แฟน ที่แปลว่าพัดลม,0.8255008255012383
Lego,ต้นไม้ประดับห้อง,0.8236877675803729
ต้นไม้ประดับห้อง,Lego,0.8236877675803729
เม็ดมะม่วงหิมพานต์,Software ถูกลิขสิทธิ์,0.819688599970537
Software ถูกลิขสิทธิ์,เม็ดมะม่วงหิมพานต์,0.819688599970537
ชาบู,เนื้อวากิล,0.816496580927726
กระเป๋า,ต้นไม้ประดับห้อง,0.816496580927726
ครีมกันแดด,Board game,0.816496580927726
Board game,กระเป๋า,0.816496580927726
ต้นไม้ประดับห้อง,กระเป๋า,0.816496580927726
Board game,ชาบู,0.816496580927726
ต้นไม้ประดับห้อง,ชาบู,0.816496580927726
ชาบู,ตาชั่ง ,0.816496580927726
ครีมกันแดด,ต้นไม้ประดับห้อง,0.816496580927726
เนื้อวากิล,กระเป๋า,0.816496580927726
ครีมกันแดด,ตาชั่ง ,0.816496580927726
Board game,ครีมกันแดด,0.816496580927726
ตาชั่ง ,ชาบู,0.816496580927726
เนื้อวากิล,ครีมกันแดด,0.816496580927726
ตาชั่ง ,ครีมกันแดด,0.816496580927726
กระเป๋า,Board game,0.816496580927726
ชาบู,ต้นไม้ประดับห้อง,0.816496580927726
ต้นไม้ประดับห้อง,ครีมกันแดด,0.816496580927726
กระเป๋า,ตาชั่ง ,0.816496580927726
ชาบู,Board game,0.816496580927726
กระเป๋า,เนื้อวากิล,0.816496580927726
ตาชั่ง ,กระเป๋า,0.816496580927726
เนื้อวากิล,ชาบู,0.816496580927726
ครีมกันแดด,เนื้อวากิล,0.816496580927726
อาหารแมวคลีนเพื่อสุขภาพลดหุ่น,เครื่องย่อยเศษอาหาร,0.8164965809277259
เครื่องย่อยเศษอาหาร,อาหารแมวคลีนเพื่อสุขภาพลดหุ่น,0.8164965809277259
เนื้อย่าง,Software ถูกลิขสิทธิ์,0.8146130799625569
Software ถูกลิขสิทธิ์,เนื้อย่าง,0.8146130799625569
หมูแดดเดียว,เนื้อย่าง,0.8146130799625569
เนื้อย่าง,หมูแดดเดียว,0.8146130799625569
โรตี,Lego,0.8111071056538127
Lego,โรตี,0.8111071056538127
หมอนข้าง,เนื้อย่าง,0.8102546544402056
เนื้อย่าง,หมอนข้าง,0.8102546544402056
เนื้อวากิล,หมูแดดเดียว,0.8101404467277991
Software ถูกลิขสิทธิ์,เนื้อวากิล,0.8101404467277991
หมูแดดเดียว,เนื้อวากิล,0.8101404467277991
เนื้อวากิล,Software ถูกลิขสิทธิ์,0.8101404467277991
หมอนข้าง,ต้นไม้ประดับห้อง,0.8072073527955751
ต้นไม้ประดับห้อง,หมอนข้าง,0.8072073527955751
กะหรี่(ปั๊บ),ต้นไม้ประดับห้อง,0.8060323502739514
