CUST_CODE,SHOP_MONTH,C_YEAR,C_MONTH,PREVIOUS_MONTH,NEXT_MONTH,P_YEAR,P_MONTH
CUST0000000369,200604,2006,4,,200605,,
CUST0000023116,200611,2006,11,,200706,,
CUST0000027176,200802,2008,2,,,,
CUST0000037610,200605,2006,5,,200607,,
CUST0000089183,200609,2006,9,,200708,,
CUST0000090749,200705,2007,5,,200709,,
CUST0000100937,200612,2006,12,,,,
CUST0000102595,200709,2007,9,,,,
CUST0000114440,200706,2007,6,,,,
CUST0000115145,200606,2006,6,,200608,,
CUST0000126379,200610,2006,10,,,,
CUST0000147022,200612,2006,12,,200806,,
CUST0000151840,200607,2006,7,,200804,,
CUST0000173993,200604,2006,4,,200605,,
CUST0000177092,200605,2006,5,,,,
CUST0000206560,200604,2006,4,,200605,,
CUST0000208970,200710,2007,10,,,,
CUST0000214800,200608,2006,8,,,,
CUST0000220201,200606,2006,6,,200806,,
CUST0000228468,200606,2006,6,,200610,,
CUST0000264154,200803,2008,3,,,,
CUST0000268787,200604,2006,4,,200606,,
CUST0000272186,200801,2008,1,,200802,,
CUST0000279094,200710,2007,10,,200712,,
CUST0000287957,200606,2006,6,,200806,,
CUST0000340397,200604,2006,4,,200605,,
CUST0000344664,200710,2007,10,,200712,,
CUST0000359604,200608,2006,8,,200610,,
CUST0000363357,200611,2006,11,,200709,,
CUST0000373951,200609,2006,9,,200710,,
CUST0000428136,200609,2006,9,,,,
CUST0000428551,200605,2006,5,,200704,,
CUST0000430013,200606,2006,6,,200702,,
CUST0000430437,200608,2006,8,,200610,,
CUST0000439130,200609,2006,9,,200612,,
CUST0000453659,200607,2006,7,,200608,,
CUST0000478806,200701,2007,1,,,,
CUST0000481292,200606,2006,6,,,,
CUST0000483413,200803,2008,3,,,,
CUST0000498904,200604,2006,4,,200605,,
CUST0000501703,200612,2006,12,,200701,,
CUST0000507752,200707,2007,7,,,,
CUST0000565720,200706,2007,6,,200802,,
CUST0000569121,200611,2006,11,,200612,,
CUST0000581406,200605,2006,5,,200606,,
CUST0000581663,200608,2006,8,,,,
CUST0000600989,200705,2007,5,,200806,,
CUST0000607252,200710,2007,10,,200801,,
CUST0000608420,200712,2007,12,,,,
CUST0000647793,200604,2006,4,,200605,,
CUST0000661250,200605,2006,5,,,,
CUST0000667098,200708,2007,8,,,,
CUST0000688419,200611,2006,11,,,,
CUST0000699131,200705,2007,5,,200709,,
CUST0000722981,200611,2006,11,,,,
CUST0000723192,200606,2006,6,,200610,,
CUST0000732208,200606,2006,6,,200607,,
CUST0000764200,200610,2006,10,,200701,,
CUST0000922733,200706,2007,6,,200707,,
CUST0000933646,200604,2006,4,,200607,,
CUST0000948412,200611,2006,11,,200710,,
CUST0000957776,200604,2006,4,,200605,,
CUST0000962899,200607,2006,7,,200609,,
CUST0000969554,200706,2007,6,,200707,,
CUST0000983946,200604,2006,4,,200605,,
CUST0000991096,200605,2006,5,,200609,,
CUST0000998703,200606,2006,6,,200607,,
CUST0000999935,200611,2006,11,,200701,,
